home,score,away,year
Mexico,Match 1,South Africa,2026
Korea Republic,Match 2,Czechia,2026
Czechia,Match 25,South Africa,2026
Mexico,Match 28,Korea Republic,2026
Czechia,Match 53,Mexico,2026
South Africa,Match 54,Korea Republic,2026
Canada,Match 3,Bosnia and Herzegovina,2026
Qatar,Match 8,Switzerland,2026
Switzerland,Match 26,Bosnia and Herzegovina,2026
Canada,Match 27,Qatar,2026
Switzerland,Match 51,Canada,2026
Bosnia and Herzegovina,Match 52,Qatar,2026
Haiti,Match 5,Scotland,2026
Brazil,Match 7,Morocco,2026
Brazil,Match 29,Haiti,2026
Scotland,Match 30,Morocco,2026
Scotland,Match 49,Brazil,2026
Morocco,Match 50,Haiti,2026
United States,Match 4,Paraguay,2026
Australia,Match 6,Türkiye,2026
Türkiye,Match 31,Paraguay,2026
United States,Match 32,Australia,2026
Türkiye,Match 59,United States,2026
Paraguay,Match 60,Australia,2026
Côte d'Ivoire,Match 9,Ecuador,2026
Germany,Match 10,Curaçao,2026
Germany,Match 33,Côte d'Ivoire,2026
Ecuador,Match 34,Curaçao,2026
Curaçao,Match 55,Côte d'Ivoire,2026
Ecuador,Match 56,Germany,2026
Netherlands,Match 11,Japan,2026
Sweden,Match 12,Tunisia,2026
Netherlands,Match 35,Sweden,2026
Tunisia,Match 36,Japan,2026
Japan,Match 57,Sweden,2026
Tunisia,Match 58,Netherlands,2026
IR Iran,Match 15,New Zealand,2026
Belgium,Match 16,Egypt,2026
Belgium,Match 39,IR Iran,2026
New Zealand,Match 40,Egypt,2026
Egypt,Match 63,IR Iran,2026
New Zealand,Match 64,Belgium,2026
Saudi Arabia,Match 13,Uruguay,2026
Spain,Match 14,Cabo Verde,2026
Uruguay,Match 37,Cabo Verde,2026
Spain,Match 38,Saudi Arabia,2026
Cabo Verde,Match 65,Saudi Arabia,2026
Uruguay,Match 66,Spain,2026
France,Match 17,Senegal,2026
Iraq,Match 18,Norway,2026
Norway,Match 41,Senegal,2026
France,Match 42,Iraq,2026
Norway,Match 61,France,2026
Senegal,Match 62,Iraq,2026
Argentina,Match 19,Algeria,2026
Austria,Match 20,Jordan,2026
Argentina,Match 43,Austria,2026
Jordan,Match 44,Algeria,2026
Algeria,Match 69,Austria,2026
Jordan,Match 70,Argentina,2026
Portugal,Match 23,Congo DR,2026
Uzbekistan,Match 24,Colombia,2026
Portugal,Match 47,Uzbekistan,2026
Colombia,Match 48,Congo DR,2026
Colombia,Match 71,Portugal,2026
Congo DR,Match 72,Uzbekistan,2026
Ghana,Match 21,Panama,2026
England,Match 22,Croatia,2026
England,Match 45,Ghana,2026
Panama,Match 46,Croatia,2026
Panama,Match 67,England,2026
Croatia,Match 68,Ghana,2026
